

                                                                             
  PASSED   tests.cache.test_file_based_cache.Tes...   ~ 0.013s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.013s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.019s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.050s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.021s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.018s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.010s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.016s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.009s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.021s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.009s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.011s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.016s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.015s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.017s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.009s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.008s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.012s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.005s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.009s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.012s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.011s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.013s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.011s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.042s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.023s
  PASSED   tests.cache.test_repository.TestCache...   ~ 0.012s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.008s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.009s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.007s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.007s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.009s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.011s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.011s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.009s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.007s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.006s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.005s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.004s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.003s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.007s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.035s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.010s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.010s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.011s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.010s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.008s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.004s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.005s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.003s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.003s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.003s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.004s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.003s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.006s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.004s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.003s
  PASSED   tests.cache.test_serializer.TestSeria...   ~ 0.004s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.003s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.005s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.004s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.005s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.006s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.005s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.004s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.005s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.006s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.005s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.005s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.005s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.005s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.005s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.006s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.005s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.009s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.006s
  PASSED   tests.cache.test_serializers_json.Tes...   ~ 0.005s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.092s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.217s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.074s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.039s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.055s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.062s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.062s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.105s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.067s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.044s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.213s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.058s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.049s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.200s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.083s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.044s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.058s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.120s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.093s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.243s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.082s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.128s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.223s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.155s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.107s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.053s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.114s
  PASSED   tests.cache.test_stores_database.Test...   ~ 0.178s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.044s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.024s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.017s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.005s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.011s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.025s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.012s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.009s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.011s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.026s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.146s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.013s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.013s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.131s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.026s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.020s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.013s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.021s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.038s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.016s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.014s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.013s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.014s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.025s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.019s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.017s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.017s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.015s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.018s
  PASSED   tests.cache.test_stores_file.TestFile...   ~ 0.010s
  PASSED   tests.console.test_kernel.TestKernelC...   ~ 0.008s
  PASSED   tests.console.test_kernel.TestKernelC...   ~ 0.008s
  PASSED   tests.console.test_kernel.TestKernelC...   ~ 0.009s
  PASSED   tests.console.test_kernel.TestKernelC...   ~ 0.006s
